title,price,address,price_m2,direction,property_legal_document,land_type,pty_characteristics,size,width,length
Đất mặt tiền 230m2 nằm Khu Dân Cư Xuyên Á chỉ 763 triệu - 118562235,763 triệu,"Đường số 80, Xã Tân Phú Trung, Huyện Củ Chi, Tp Hồ Chí Minh","3,32 triệu/m²",,Đã có sổ,Đất thổ cư,,230 m²,10 m,23 m
PTY 7244 x 13000 x 1040 Mua bán Chủ ngộp cần bán gắp lô đất 57m2 kế bê - 119642896,"3,71 tỷ","Đường Võ Văn Kiệt, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","65,09 triệu/m²",,Không có sổ,Đất thổ cư,,57 m²,4 m,14.25 m
Chính chủ bán gấp 2 lô đất 116m² đường lớn thông 2chiều gần UBND Quận - 119659019,"3,79 tỷ","Đường Hồ Học Lãm, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","65,34 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",58 m²,4 m,14.4 m
"Đất 4x13.3=53m2Vườn Lài,Quận 12,Ngộp Chính Chủ,Thổ 100% - 109353611","3,15 tỷ",an phú đông 10,"59,43 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,53 m²,4 m,13.3 m
"CHÍNH CHỦ cần bán gấp 4 lô đất Phường An Lạc, Quận Bình Tân - 119180920","2,9 tỷ","Đường Võ Văn Kiệt, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","65,02 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Nở hậu",44.6 m²,4 m,11.15 m
Đất ngộp mặt tiền Hà Huy Giáp-Q12 giá chỉ 620tr dt 100m2 đất thổ cư. - 119674487,620 triệu,"Đường Hà Huy Giáp, Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh","6,20 triệu/m²",,Đã có sổ,Đất thổ cư,Mặt tiền,100 m²,5 m,20 m
"Đất đẹp,đường xe tải thông gần nguyễnThị thử. - 118483495","3,15 tỷ","Xts30, Xã Xuân Thới Sơn, Huyện Hóc Môn, Tp Hồ Chí Minh","25,20 triệu/m²",Tây,Đã có sổ,Đất thổ cư,"Hẻm xe hơi,Nở hậu,Thổ cư toàn bộ",125 m²,5 m,25 m
"BÁN ĐẤT 89 M2 KDC HIỆN HỮU HẺM Ô TÔ LÊ VĂN LƯƠNG, NHƠN ĐỨC, NHÀ BÈ. - 118655397","3,05 tỷ","Đường Lê Văn Lương, Xã Nhơn Đức, Huyện Nhà Bè, Tp Hồ Chí Minh","34,27 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,89 m²,4 m,22 m
116m2 thổ cư Đường Nguyễn Văn khạ Xã tân Thông Hôi Huyện Củ Chi 950tr - 118445213,950 triệu,"Đường Nguyễn Văn Khạ, Xã Tân An Hội, Huyện Củ Chi, Tp Hồ Chí Minh","8,19 triệu/m²",,Đã có sổ,Đất thổ cư,Thổ cư toàn bộ,116 m²,5 m,23 m
"ĐẤT 👍MẶT TIỀN BUÔN.BÁN SẦM UẤT. 4,13M×18M.Q12 - 119684117",6 tỷ,"Đường Trần Quang Cơ, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh",80 triệu/m²,,Đã có sổ,Đất thổ cư,,75 m²,4.2 m,18 m
KHÁCH CẦN BÁN GẤP LÔ ĐẤT Ở CỦ CHI XÃ TÂN PHÚ TRUNG 240m2 GIÁ SIÊU TỐT - 119684106,530 triệu,"đường xuyên á, Xã Tân Thạnh Đông, Huyện Củ Chi, Tp Hồ Chí Minh","2,21 triệu/m²",,Đã có sổ,Đất thổ cư,"Thổ cư toàn bộ,Mặt tiền",240 m²,8 m,30 m
Chính chủ bán Lô đất 545 ngay Vinhomes Grand Park quận 9 - 119474723,"4,35 tỷ","Hẻm 545, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh","54,17 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Thổ cư toàn bộ",80.3 m²,5.3 m,15.15 m
"Bán đất đường Bùi Thị Lùng, HM (89m2/SHR - 1 tỷ 050 triệu) - 119684075","1,05 tỷ","Đường Bùi Thị Lùng, Xã Thới Tam Thôn, Huyện Hóc Môn, Tp Hồ Chí Minh","11,80 triệu/m²",Tây Bắc,Đã có sổ,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Thổ cư toàn bộ",89 m²,5 m,18 m
Phân Lô 1/  Ba sa Xã Phước Hiệp Củ chi 100m2 -125m2 giá chỉ 700 triệu - 116285236,700 triệu,"Đường Ba Sa, Xã Phước Hiệp, Huyện Củ Chi, Tp Hồ Chí Minh","5,60 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",125 m²,5 m,25 m
"2 Lô liền kề, 150m2 giá 1 tỷ 350 ,thổ cư,cây Trắc,Phú Hòa đông ,củ chi - 114800614","1,3 tỷ","Đường Cây Trắc, Xã Phú Hòa Đông, Huyện Củ Chi, Tp Hồ Chí Minh","8,67 triệu/m²",,Đã có sổ,Đất thổ cư,Mặt tiền,150 m²,5 m,30 m
"CẦN BÁN GẤP ĐẤT ĐƯỜNG BÌNH QUỚI, 3410M2. 59TỶ - 116382945",80 tỷ,Đường Bình Quới,"23,46 triệu/m²",,Đã có sổ,Đất thổ cư,"Thổ cư 1 phần,Hẻm xe hơi",3410 m²,76 m,45 m
CÔ TƯ CẦN BÁN LÔ ĐẤT PHƯỚC HIỆP FULL THỔ CƯ SHR 160m2 GIÁ 510TRIỆU - 119684046,510 triệu,"Đường Nguyễn Thị Ni, Xã Phước Hiệp, Huyện Củ Chi, Tp Hồ Chí Minh","3,19 triệu/m²",,Đã có sổ,Đất thổ cư,,160 m²,8 m,20 m
"BÁN ĐẤT XÃ TÂN HIỆP, HOOCMON KV CẦU XÁNG CHỈ 4TR/M2 dt 1574m2 - 119684041","6,336 tỷ","KÊNH XÁNG, Xã Tân Hiệp, Huyện Hóc Môn, Tp Hồ Chí Minh","4,03 triệu/m²",,Đã có sổ,Đất nông nghiệp,,1574 m²,,
ĐÁO HẠN NGÂN HÀNG CẦN BÁN GẤP LÔ ĐẤT Ở TT CỦ CHI 200M2 GIÁ 560 TRIỆU - 119684029,560 triệu,"Đường Huỳnh Văn Cọ, Thị trấn Củ Chi, Huyện Củ Chi, Tp Hồ Chí Minh","2,80 triệu/m²",,Đã có sổ,Đất thổ cư,,200 m²,10 m,20 m
"Bán gấp 54m² đất thổ cư,SHR,XDTD,Vị trí VIP Quận8 cách Võ Văn Kiệt 50m - 119583685","5,1 tỷ","Đường An Dương Vương, Phường 16, Quận 8, Tp Hồ Chí Minh","94,44 triệu/m²",Đông,Đã có sổ,Đất thổ cư,Mặt tiền,54 m²,4 m,13.5 m
"Bán gấp lô đất thổ Đường Dương Công Khi, Tân Hiệp 72m2 giá 980 triệu - 119684018",980 triệu,"Đường Dương Công Khi, Xã Tân Hiệp, Huyện Hóc Môn, Tp Hồ Chí Minh","13,61 triệu/m²",,Đã có sổ,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",72 m²,5 m,14 m
"BÁN LÔ ĐẤT 180M2 ĐƯỜNG NGUYỄN THỊ SÁU LỘ GIỚI ĐƯỜNG NHỰA 12M, GIÁ 1TY1 - 118824495","1,1 tỷ","Đường Nguyễn Thị Sáu, Xã Thới Tam Thôn, Huyện Hóc Môn, Tp Hồ Chí Minh","6,11 triệu/m²",,Đã có sổ,Đất thổ cư,"Thổ cư toàn bộ,Mặt tiền",180 m²,10 m,18 m
Bán đất (6m x 18m) mặt tiền chính đường Cao Lỗ. Sát TTTM Parc Mall - 119683976,"11,8 tỷ","Đường Cao Lỗ, Phường 4, Quận 8, Tp Hồ Chí Minh","104,42 triệu/m²",,Đã có sổ,Đất thổ cư,Mặt tiền,113 m²,6 m,18 m
"Bán đất Thạnh Xuân, DT: 56,SHR,đường 6m - 119683879","1,9 tỷ","Đường Thạnh Xuân 52, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh","36,54 triệu/m²",,Đã có sổ,Đất thổ cư,"Thổ cư toàn bộ,Hẻm xe hơi",52 m²,4 m,13 m
bán đất thị trấn Phú Xuân nhà bè - 119671792,"4,75 tỷ","Đường Dương Cát Lợi, Thị trấn Nhà Bè, Huyện Nhà Bè, Tp Hồ Chí Minh","76,61 triệu/m²",Bắc,Đã có sổ,Đất thổ cư,Hẻm xe hơi,62 m²,6.2 m,10 m
bán lô đất ở xã hiệp Phước nhà bè - 119683870,"3,5 tỷ","Đường Nguyễn Văn Tạo, Xã Hiệp Phước, Huyện Nhà Bè, Tp Hồ Chí Minh","6,45 triệu/m²",Đông,Đã có sổ,Đất thổ cư,Hẻm xe hơi,543 m²,,
"Đất Mặt Sông Siêu Đẹp Xây Biệt Thự 1465m2, Bình Chánh Quốc lộ 50 vào - 119650804","17,5 tỷ","Đường Tổ 12 Ấp 4, Xã Đa Phước, Huyện Bình Chánh, Tp Hồ Chí Minh","11,95 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,1465 m²,49 m,35 m
Cắt lỗ 2 lô góc 8m x15m = 120m2 đường vào 20m giảm 800 triệu - 118427221,"3,9 tỷ","Đường Võ Văn Kiệt, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",65 triệu/m²,Đông,Đã có sổ,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ,Nở hậu",60 m²,8 m,15 m
"CẦN BÁN GẤP 2 lô liền kề 4 x 17 MT đường 12m,SHR,P.An Lạc Q.Bình Tân - 119380968","4,556 tỷ","Đường Võ Văn Kiệt, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",67 triệu/m²,,Đã có sổ,Đất thổ cư,"Nở hậu,Mặt tiền,Hẻm xe hơi",68 m²,4 m,17 m
Chính chủ bán 761m2 đất trồng cây lâu năm tại TP. Thủ Đức - 111054432,17 tỷ,"Nguyễn Thị Thích, Phường Bình Chiểu, Quận Thủ Đức, Tp Hồ Chí Minh","22,34 triệu/m²",,Đã có sổ,Đất nông nghiệp,Chưa có thổ cư,761 m²,,
Chính chủ bán đất 2 mặt tiền hẻm xe hơi - 119287925,"5,65 tỷ",Đường Quốc lộ 13,"64,94 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ,Hẻm xe hơi",87 m²,5.9 m,15 m
Bán đất bên cạnh VinCity Thủ Đức - 119642177,"3,95 tỷ","Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh","57,08 triệu/m²",Đông,Đã có sổ,Đất thổ cư,Mặt tiền,69.2 m²,4 m,18 m
"Đất Mặt Sông Siêu Đẹp Xây Biệt Thự 1465m2, Bình Chánh Quốc lộ 50 vào - 119650804","17,5 tỷ","Đường Tổ 12 Ấp 4, Xã Đa Phước, Huyện Bình Chánh, Tp Hồ Chí Minh","11,95 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,1465 m²,49 m,35 m
Bán đất tặng nhà 1 lầu (160m đất) - 119683858,"5,5 tỷ","Ql22, Xã Trung Chánh, Huyện Hóc Môn, Tp Hồ Chí Minh","34,38 triệu/m²",Tây Nam,Đang chờ sổ,Đất thổ cư,"Mặt tiền,Nở hậu",160 m²,5 m,16 m
"Bán gấp lô đất 6x20m đường tân Xuân 6, Tân Xuân, Hóc Môn Giá 600 triệu - 119656661",600 triệu,"Đường Tân Xuân 6, Xã Tân Xuân, Huyện Hóc Môn, Tp Hồ Chí Minh",5 triệu/m²,,Đã có sổ,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",120 m²,6 m,20 m
"Bán đất kdc hiện hữu, hẻm 12 ra đường 339, Phước Long B,Q9. - 119197533","8,28 tỷ","Hẻm 12 Đường số 339, Phường Phước Long B, Quận 9, Tp Hồ Chí Minh",60 triệu/m²,Đông,Đã có sổ,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",138 m²,8.5 m,
Bán miếng đất 6x30m Giá 760tr MT đường Nguyễn Thị Quá xã Phước Thạnh - 119683837,760 triệu,"Đường Nguyễn Thị Quá, Xã Phước Thạnh, Huyện Củ Chi, Tp Hồ Chí Minh","4,25 triệu/m²",,Đã có sổ,Đất thổ cư,Mặt tiền,179 m²,6 m,30 m
"Bán đất thổ cư hẻm12m ngay cổng KCN Hiệp Phước, Nguyễn Văn Tạo, Nhà Bè - 108603270","7,2 tỷ","Nguyễn Văn Tạo, Xã Long Thới, Huyện Nhà Bè, Tp Hồ Chí Minh","22,50 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,320 m²,10 m,32 m
"Bán nhanh đất thổ cư hẻm nhựa 7m 409 sát MT Nguyễn Văn Tạo, Nhà Bè - 111525389","3,76 tỷ","Nguyễn Văn Tạo, Xã Long Thới, Huyện Nhà Bè, Tp Hồ Chí Minh","40,87 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,92 m²,5 m,18 m
"Đất thổ cư 1 sẹc HL2 Củ Chi, giá sáng nhượng 510 triệu, Sổ hồng riêng - 119683746",510 triệu,"Đường Tỉnh lộ 2, Xã Trung Lập Thượng, Huyện Củ Chi, Tp Hồ Chí Minh","2,09 triệu/m²",,Đã có sổ,Đất nông nghiệp,,244 m²,5.2 m,47 m
Chính chủ bán gấp lô đất 100m2 giá 1 tỷ 350 ngay chợ Xuân Thới Thượng - 119683725,"1,2 tỷ","Đường Phan Văn Hớn, Xã Xuân Thới Thượng, Huyện Hóc Môn, Tp Hồ Chí Minh",12 triệu/m²,,Đã có sổ,Đất thổ cư,"Thổ cư toàn bộ,Hẻm xe hơi,Mặt tiền",100 m²,5 m,20 m
"1,2ha đất, 2MT đường xt, cách đường Tam Đa 200m, Long Trường, TD - 117952836",79 tỷ,"Đường Tam Đa, Phường Long Trường, Quận 9, Tp Hồ Chí Minh","6,08 triệu/m²",,Đã có sổ,Đất nông nghiệp,Hẻm xe hơi,13000 m²,,
"BÁN ĐẤT XÃ TÂN HIỆP, HOOCMON CHỈ 4TR/M2 DT 3317,8M2 - 119683629","13,271 tỷ","KÊNH XÁNG, Xã Tân Hiệp, Huyện Hóc Môn, Tp Hồ Chí Minh",4 triệu/m²,,Đã có sổ,Đất nông nghiệp,,3317.8 m²,,
RA NGAY LÔ ĐẤT NỀN THỔ CƯ CHO ANH EM THIỆN CHÍ Đ.BÙI THỊ ĐỆT X.PV CỘI - 116921521,750 triệu,"Đường Bùi Thị Điệt, Xã Phạm Văn Cội, Huyện Củ Chi, Tp Hồ Chí Minh",3 triệu/m²,,Đã có sổ,Đất thổ cư,,250 m²,,
Cần bán gấp 1200m2 có 128m2 thổ cư Tân Quý Tây - 117755046,"9,5 tỷ","cầu cua, Xã Tân Quý Tây, Huyện Bình Chánh, Tp Hồ Chí Minh","7,92 triệu/m²",,Đã có sổ,Đất thổ cư,Mặt tiền,1200 m²,50 m,25 m
Cần bán lô đất 180m2 thổ cư MT Đoàn Nguyễn Tuấn - 117611046,"5,5 tỷ","Đường Đoàn Nguyễn Tuấn, Xã Tân Quý Tây, Huyện Bình Chánh, Tp Hồ Chí Minh","30,56 triệu/m²",,Đã có sổ,Đất thổ cư,Mặt tiền,180 m²,5 m,37 m
cần bán đất hot quận 7 hotttttttttttttt - 118102979,"6,4 tỷ","huỳnh tấn phát, Phường Tân Quy, Quận 7, Tp Hồ Chí Minh","103,23 triệu/m²",,Đã có sổ,Đất thổ cư,,62 m²,4 m,16 m
"LÔ ĐẤT KIỀU ĐÀM 90m CHỈ 6,350 TỶ - 119077842","6,35 tỷ","Đường Trần Xuân Soạn, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh","70,56 triệu/m²",Tây,Đã có sổ,Đất thổ cư,Hẻm xe hơi,90 m²,4.5 m,20 m
"Bán lô đất thổ cư hẻm nhựa 7m,giáp Quận 12,DT: 5,17 x 16 (CN: 80m2) - 118533861","3,65 tỷ","Thới Tam Thôn 17, Xã Thới Tam Thôn, Huyện Hóc Môn, Tp Hồ Chí Minh","45,62 triệu/m²",Đông Nam,Đã có sổ,Đất thổ cư,"Hẻm xe hơi,Nở hậu",80 m²,5.17 m,16 m
"Bán Đất ở kết hợp sản xuất, xã Nhuận Đức, Huyện Củ Chi, TPHCM - 119683476",14 tỷ,"Đường Nhuận Đức, Xã Nhuận Đức, Huyện Củ Chi, Tp Hồ Chí Minh","3,39 triệu/m²",,Đã có sổ,Đất thổ cư,"Nở hậu,Mặt tiền,Thổ cư 1 phần",4125 m²,74 m,58 m
"BÁN 195M2 ĐẤT NGÃ 3 ĐƯỜNG NGUYỄN KIM CƯƠNG, TÂN THẠNH ĐÔNG, 1TY2, SHR - 117806891","1,2 tỷ","Đường Nguyễn Kim Cương, Xã Tân Thạnh Đông, Huyện Củ Chi, Tp Hồ Chí Minh","6,15 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",195 m²,11.9 m,16.3 m
"Bán đất mặt tiền đường Nam Lân 5 Bà Điểm- Hóc Môn,TPHCM - 119683296","5,15 tỷ","Đường Nam Lân 5, Xã Bà Điểm, Huyện Hóc Môn, Tp Hồ Chí Minh","32,80 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Nở hậu,Thổ cư toàn bộ",157 m²,5 m,30 m
"Bán đất mặt tiền đường Nam Lân 5 Bà Điểm- Hóc Môn,TPHCM - 119683296","5,15 tỷ","Đường Nam Lân 5, Xã Bà Điểm, Huyện Hóc Môn, Tp Hồ Chí Minh","32,80 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Nở hậu,Thổ cư toàn bộ",157 m²,5 m,30 m
BÁN ĐẤT VI BẰNG Ở THẠNH XUÂN 52 - 119683118,280 triệu,"Đường Thạnh Xuân 52, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh","8,75 triệu/m²",Bắc,Sổ chung / công chứng vi bằng,Đất nông nghiệp,Không có thổ cư,32 m²,4 m,8 m
"Chủ hạ sâu 3 tỷ Đất Mặt tiền hoàng quốc việt - Q7 - 5x25m - 12,5 tỷ - 111134622","12,5 tỷ","Đường Hoàng Quốc Việt, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",100 triệu/m²,,,Đất thổ cư,Mặt tiền,125 m²,5 m,32 m
Chính chủ bán Đất Nền Nam Long Trần Trọng Cung -5x24m -13.8tỷ SHR - 106380316,"13,8 tỷ","Trần Trọng Cung, Phường Tân Thuận Đông, Quận 7, Tp Hồ Chí Minh",115 triệu/m²,Bắc,Đã có sổ,Đất thổ cư,Mặt tiền,120 m²,5 m,24 m
"Đất Biệt Thự Phú mỹ hưng, DT 8x18, 15x17, 12x17 giá chính chủ làm viec - 118019693","33,7 tỷ","Tân Phong, Phường Tân Phong, Quận 7, Tp Hồ Chí Minh","234,03 triệu/m²",Đông Nam,Đã có sổ,Đất thổ cư,Mặt tiền,144 m²,8 m,18 m
"Đất biệt thự view sông NAM LONG Q7 - 8x20 (160m) giá 15,8 tỷ SHR - 117621104","15,8 tỷ","Gò Ô Môi, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","98,75 triệu/m²",,Đã có sổ,Đất thổ cư,Mặt tiền,160 m²,8 m,20 m
Đất Thổ Cư 1/ Nguyễn Văn Quá Q12 DT 4x18 HXH SHR Xây Dựng Tự Do - 116005378,"3,78 tỷ",Đường Nguyễn Văn Quá,"56,42 triệu/m²",Tây Nam,Đã có sổ,Đất thổ cư,Hẻm xe hơi,67 m²,4 m,18 m
"đất đẹp đường 12m Lê Thị Riêng, Phường Thới An, Quận 12, - 119682988","4,75 tỷ","Đường Lê Thị Riêng, Phường Thới An, Quận 12, Tp Hồ Chí Minh","75,40 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,63 m²,,
"Bán Đất Full Thổ Cư: 4M x 20M Nở Hậu, Xây Dựng Tự Do, Đ. Ô Tô - 119682548","2,45 tỷ","Đường Phan Văn Hớn, Xã Xuân Thới Thượng, Huyện Hóc Môn, Tp Hồ Chí Minh","30,62 triệu/m²",Tây Bắc,Đã có sổ,Đất thổ cư,"Mặt tiền,Hẻm xe hơi",80 m²,4 m,20 m
Bán Lô Đất Thổ Cư DT 17m x 20m Ngay Uỷ Ban Xã Hiệp Phước - 119557949,"3,55 tỷ","Đường Nguyễn Văn Tạo, Xã Hiệp Phước, Huyện Nhà Bè, Tp Hồ Chí Minh","11,83 triệu/m²",,Đã có sổ,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Nở hậu,Thổ cư toàn bộ",300 m²,17 m,20 m
"Lô đất hẻm 94 đường vườn lài 82,4m2 giá đầu tư - 119275988","4,3 tỷ","Đường Vườn Lài, Phường An Phú Đông, Quận 12, Tp Hồ Chí Minh","52,18 triệu/m²",,Đã có sổ,Đất thổ cư,Nở hậu,82.4 m²,,
ĐẤT HIẾM! 53M2 HẺM XE TẢI - 119682922,"2,85 tỷ","Đường Ngô Chí Quốc, Phường Bình Chiểu, Quận Thủ Đức, Tp Hồ Chí Minh","53,77 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,53 m²,4 m,13 m
Đất 2 Mặt Tiền đường 15 giao Quốc Lộ 13 ngay UBND Thủ Đức sổ hồng 115m - 119682891,"7,7 tỷ","Mặt Tiền, Đường số 15, Phường Hiệp Bình Phước, Quận Thủ Đức, Tp Hồ Chí Minh","66,38 triệu/m²",,Đã có sổ,Đất thổ cư,"Thổ cư toàn bộ,Mặt tiền",116 m²,6.3 m,18 m
"Đất thổ cư 5x23m 1/ Trần Thị Cờ, P. Thới An, Q.12 - 119584320","5,3 tỷ","196/37, Đường Trần Thị Cờ, Phường Thới An, Quận 12, Tp Hồ Chí Minh","46,49 triệu/m²",,Đã có sổ,Đất thổ cư,"Hẻm xe hơi,Mặt tiền",114 m²,5 m,23 m
BÁN ĐẤT 1135 Huỳnh Tấn Phát sát bên Phú Mỹ Hưng - 117698521,"3,7 tỷ","1135/61/14, Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","61,26 triệu/m²",Tây,Đã có sổ,Đất thổ cư,Thổ cư toàn bộ,60.4 m²,4.05 m,15 m
đất vườn - 119462645,"1,65 tỷ","Đường Thạnh Xuân 52, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh","19,41 triệu/m²",Tây Nam,Đã có sổ,Đất công nghiệp,"Chưa có thổ cư,Hẻm xe hơi",85 m²,5 m,17 m
Đất mặt tiền Hà Huy Giáp đẹp - 116661119,"8,2 tỷ","Đường Hà Huy Giáp, Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh","65,60 triệu/m²",Tây,Đã có sổ,Đất thổ cư,"Mặt tiền,Nở hậu,Thổ cư toàn bộ",,4 m,31.3 m
*** 1 LÔ RẺ NHẤT THÍCH HỢP XÂY NHÀ VƯỜN. - 118288219,"4,7 tỷ","Đường Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, Tp Hồ Chí Minh","34,06 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,138 m²,10 m,14 m
"BÁN ĐẤT THỔ CƯ SỔ HỒNG RIÊNG 5,23x13 lô góc - 119524143","3,3 tỷ","1693, Đường Nguyễn Duy Trinh, Phường Trường Thạnh, Quận 9, Tp Hồ Chí Minh","48,18 triệu/m²",Đông Bắc,Đã có sổ,Đất thổ cư,"Hẻm xe hơi,Thổ cư toàn bộ",,5.2 m,13 m
Đất khu trung tâm hành chính huyện Nhà Bè xd ngay. - 110502557,"3,8 tỷ","15b, Xã Phú Xuân, Huyện Nhà Bè, Tp Hồ Chí Minh","34,55 triệu/m²",Đông Bắc,Đã có sổ,Đất nền dự án,Mặt tiền,110 m²,5 m,22 m
Bán nhan lô đất khu trung tâm hành chính Huyện Nhà Bè - 117758919,"4,1 tỷ","21, Đường Dương Thị Năm, Xã Phú Xuân, Huyện Nhà Bè, Tp Hồ Chí Minh","40,59 triệu/m²",Tây Bắc,Đã có sổ,Đất thổ cư,Mặt tiền,101 m²,5.2 m,20 m
"Bán đất  2295 htp, kdc sài gòn mới. Tt nhà bè - 119281727","2,95 tỷ","2295, Đường Huỳnh Tấn Phát, Thị trấn Nhà Bè, Huyện Nhà Bè, Tp Hồ Chí Minh","56,19 triệu/m²",Đông Bắc,Đã có sổ,Đất thổ cư,Mặt tiền,52.5 m²,5 m,10.5 m
"Bán đất mt đường số 7, kdc Phú Xuân VPH, Nhà Bè - 118065536","6,5 tỷ","Đường Huỳnh Tấn Phát, Xã Phú Xuân, Nhà Bè, Hồ Chí Minh, Xã Phú Xuân, Huyện Nhà Bè, Tp Hồ Chí Minh","45,14 triệu/m²",Đông Nam,Đã có sổ,Đất nền dự án,"Mặt tiền,Thổ cư toàn bộ",,6 m,24 m
"Đất đẹp sát đường nguyễn bình, Nhơn Đức, Nhà Bè - 117462552","4,2 tỷ","Nguyễn Bình, Xã Nhơn Đức, Huyện Nhà Bè, Tp Hồ Chí Minh",42 triệu/m²,Tây Nam,Đã có sổ,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",100 m²,5 m,20 m
"Đất Khu Centana ĐPT (5mx17m =85m2 giá rẽ nhất KH còn 4,2 tỷ - 119438963","4,2 tỷ","Long Trường, Phường Long Trường, Quận 9, Tp Hồ Chí Minh",50 triệu/m²,,Đã có sổ,Đất thổ cư,"Mặt tiền,Thổ cư toàn bộ",84 m²,5 m,17 m
Bán đất hẻm 94 đường vườn lài giá 4.3tỷ diện tích 82.4m - 119386711,"4,3 tỷ","Hẻm 94 đường vườn lài , Phường An Phú Đông, Quận 12, Tp Hồ Chí Minh","52,18 triệu/m²",Tây,Đã có sổ,Đất thổ cư,Hẻm xe hơi,82.4 m²,,
Bán đất 158.4m đường an Phú đông 9 vào 2/ - 119390186,6 tỷ,"Đường An Phú Đông 9, Phường An Phú Đông, Quận 12, Tp Hồ Chí Minh","37,88 triệu/m²",Đông Nam,Đã có sổ,Đất thổ cư,Hẻm xe hơi,158.4 m²,7.5 m,21.12 m
Bán Đất Thổ 2 mặt tiền xã thái mỹ - 113863145,"2,9 tỷ","Đoàn Minh Triết, Xã Thái Mỹ, Huyện Củ Chi, Tp Hồ Chí Minh","5,62 triệu/m²",Đông Nam,Đã có sổ,Đất thổ cư,Mặt tiền,516 m²,17 m,25 m
Bán đất hẻm 301 đường vườn lài giá 4.95 tỷ diện tích 93.2 - 119387691,"4,95 tỷ","Hẻm 301 Đường Vườn Lài, Phường An Phú Đông, Quận 12, Tp Hồ Chí Minh","53,11 triệu/m²",Tây,Đã có sổ,Đất thổ cư,Hẻm xe hơi,93.2 m²,5 m,18.64 m
Bán đất 2 mặt tiền hẻm 190 đường vườn lài giá 6.5 tỷ diện tích 83.6 - 119387820,"6,5 tỷ","Hẻm 190 đường vườn lài , Phường An Phú Đông, Quận 12, Tp Hồ Chí Minh","77,75 triệu/m²",Đông Nam,Đã có sổ,Đất thổ cư,Hẻm xe hơi,83.6 m²,5.22 m,16.015 m
Bán đất hẻm 201 đường vườn lài giá 9.1 tỷ diện tích 217.5m - 119389607,"9,1 tỷ","Hẻm 201 Đường Vườn Lài, Phường An Phú Đông, Quận 12, Tp Hồ Chí Minh","41,84 triệu/m²",Tây Bắc,Đã có sổ,Đất thổ cư,Hẻm xe hơi,217.5 m²,6.2 m,35.08 m
Bán đất 83.4m hẻm 52 đường vườn lài giá 5.7 tỷ - 119387418,"5,7 tỷ","Hẻm 52 đường vườn lài , Phường An Phú Đông, Quận 12, Tp Hồ Chí Minh","68,26 triệu/m²",Tây Bắc,Đã có sổ,Đất thổ cư,Hẻm xe hơi,83.5 m²,,
